   el                Wbb                Wcc                 Wc                Wll

  1ex       94332.585938      344802.656250     1418501.750000     7816958.000000
  2ex       59735.871094      186346.593750      413718.906250     1647566.250000
  3ex       24422.835938       65467.875000       96362.984375      345829.406250
  4ex        8339.257812       19617.699219       20903.257812       74186.867188
  5in        3675.069092        7655.320801        5856.829102       20422.740234
  3in       36437.156250       92740.875000      123123.093750      440438.906250
  4in       12014.322266       27273.025391       26760.078125       94609.609375

   mu                Wbb                Wcc                 Wc                Wll

  1ex      106853.539062      391371.593750     1543442.125000     9053901.000000
  2ex       66528.812500      207635.968750      440481.093750     1869629.250000
  3ex       26897.691406       71789.125000      100962.000000      385410.031250
  4ex        9422.655273       22140.242188       21732.894531       82057.914062
  5in        4165.705078        8369.550781        6136.715820       22632.732422
  3in       40486.023438      102298.906250      128831.531250      490100.593750
  4in       13588.363281       30509.792969       27869.597656      104690.609375
